res_hall,remaining,total,num_picks
Drop to 377,0,1,13
Drop to 145,0,1,13
Drop to 441,2,2,13
Barbour Hall Apartments,23,27,13
Drop to 415,3,3,13
Grad Center C,17,17,13
Drop to 394,1,1,13
Drop to 261,1,1,13
315 Thayer,1,19,13
Sears House,12,16,13
Diman House,12,12,13
Drop to 564,1,1,13
Marcy House,14,14,13
Machado,3,12,13
Drop to 587,1,1,13
Drop to 474,1,1,13
Drop to 304,1,1,13
Drop to 617,1,1,13
Caswell Hall,44,44,14
Drop to 414,1,1,14
Harkness House,9,9,14
Hegeman,19,24,14
Drop to 29,0,1,14
Goddard House,11,30,14
Morriss Hall,4,4,14
Young Orchard #4,9,13,14
Young Orchard #2,4,12,14
Hope College,39,39,14
Grad center D,1,1,14
New Pembroke #3,0,9,14
Drop to 488,1,1,14
Grad Center D,85,102,14
No Show,49,62,14
Woolley,1,27,14
Champlin,0,5,14
New Pembroke #4,0,21,14
Drop to 179,0,3,14
Drop to 365,1,1,14
Plantations House,4,9,14
Grad Center B,17,17,14
Drop to 151,0,1,14
Drop to 402,1,1,14
Slater Hall,14,21,14
Drop to 284,1,1,14
Drop to 413,1,1,14
Drop to 421,1,1,14
Chapin House,13,15,14
Gregorian Quad A,53,76,14
Young Orchard #10,10,10,14
Drop to 248,1,1,14
Grad Center A,16,16,14
Barbour Hall,13,14,14
111 Brown Street,6,6,14
Minden,43,55,14
Olney House,5,7,14
Littlefield Hall,24,24,14
Pass,75,77,14
Emery,0,19,14
Drop to 215,0,1,14
Drop to 139,0,1,14
Drop to 554,1,1,14
Grad Center d,2,2,14
New Pembroke #1,17,17,14
Drop to 398,1,1,14
Drop to 692,1,1,14
Gregorian Quad B,25,53,14
Drop to 377,0,1,14
Drop to 145,0,1,14
Drop to 441,2,2,14
Barbour Hall Apartments,23,27,14
Drop to 415,3,3,14
Grad Center C,17,17,14
Drop to 394,1,1,14
Drop to 261,1,1,14
315 Thayer,1,19,14
Sears House,12,16,14
Diman House,12,12,14
Drop to 564,1,1,14
Marcy House,14,14,14
Machado,3,12,14
Drop to 587,1,1,14
Drop to 474,1,1,14
Drop to 304,1,1,14
Drop to 617,1,1,14
Caswell Hall,44,44,15
Drop to 414,1,1,15
Harkness House,9,9,15
Hegeman,17,24,15
Drop to 29,0,1,15
Goddard House,11,30,15
Morriss Hall,4,4,15
Young Orchard #4,8,13,15
Young Orchard #2,2,12,15
Hope College,39,39,15
Grad center D,1,1,15
New Pembroke #3,0,9,15
Drop to 488,1,1,15
Grad Center D,75,102,15
No Show,48,62,15
Woolley,1,27,15
Champlin,0,5,15
New Pembroke #4,0,21,15
Drop to 179,0,3,15
Drop to 365,1,1,15
Plantations House,4,9,15
Grad Center B,17,17,15
Drop to 151,0,1,15
Drop to 402,1,1,15
Slater Hall,14,21,15
Drop to 284,1,1,15
Drop to 413,1,1,15
Drop to 421,1,1,15
Chapin House,13,15,15
Gregorian Quad A,52,76,15
Young Orchard #10,10,10,15
