room,pick_2006,pick_2007,pick_2008,pick_2009,pick_2010,pick_2011,pick_2012,pick_2013
Hegeman D111,340,359,319,309,353,0,325,272
West Andrews 457,77,66,151,25,107,92,0,0
West Andrews 453,0,160,239,185,126,113,0,0
Grad Center D 342,0,0,0,0,0,0,183,115
New Pembroke #1 406,514,522,611,572,510,507,472,103
Woolley 207,426,0,0,349,333,258,93,0
Young Orchard #2 120,316,295,209,0,0,438,361,331
New Pembroke #1 405,498,502,0,511,518,480,461,70
Grad Center C 530,365,484,411,379,434,0,0,373
Grad Center D 145,0,0,0,0,0,0,370,204
Hope College 220,0,0,0,0,0,0,555,595
Perkins Hall 128,0,0,0,0,0,0,0,769
Perkins Hall 126,0,0,0,0,0,0,0,759
Grad Center C 440,387,503,361,446,564,543,404,462
Perkins Hall 125,0,0,0,0,0,0,0,759
Perkins Hall 122,0,0,0,0,0,0,0,760
Perkins Hall 123,0,0,0,0,0,0,0,739
Perkins Hall 121,0,0,0,0,0,0,0,739
Olney House 123,0,0,0,411,0,0,0,0
Olney House 122,0,0,0,411,0,0,0,0
Olney House 121,0,0,0,411,0,0,0,0
Olney House 124,0,0,0,411,0,0,0,0
East Andrews 210,0,64,157,143,146,118,0,0
East Andrews 214,670,681,680,415,651,0,0,0
Caswell Hall 211,0,0,0,0,526,513,525,612
Wayland House 400A,253,264,372,330,331,324,0,579
Wayland House 400B,302,400,415,410,301,560,0,589
Caswell Hall 212,539,556,522,584,533,513,525,622
Grad center A 612,0,0,0,0,0,0,0,424
Grad center A 613,0,0,0,0,0,0,0,424
Young Orchard #4 430,129,134,234,191,138,378,240,161
Gregorian Quad B 304,230,117,194,235,289,271,254,322
Gregorian Quad B 305,281,303,0,0,0,0,104,308
Gregorian Quad B 306,109,117,136,314,214,222,254,74
Gregorian Quad B 307,261,153,99,122,370,263,265,114
Gregorian Quad B 301,257,309,138,336,280,310,293,0
Gregorian Quad B 302,291,248,307,336,344,283,293,377
Gregorian Quad B 303,165,290,206,235,293,213,103,373
Barbour Hall Apartments 170,623,338,333,399,298,529,429,687
Gregorian Quad B 308,154,92,0,350,267,244,265,164
East Andrews 322,108,122,98,69,37,55,0,0
Young Orchard #10 340,190,109,188,275,136,391,0,189
Diman House 329A,476,0,469,528,497,515,0,0
Diman House 329B,476,476,471,528,497,515,0,0
Goddard House 227,643,711,631,643,623,665,554,698
Goddard House 221,290,0,0,256,0,0,0,0
Goddard House 223,643,696,631,643,623,666,554,691
Goddard House 229,0,0,0,0,268,259,178,663
Young Orchard #10 120,225,267,287,237,188,127,345,329
Littlefield Hall 211,0,0,0,0,0,0,546,586
Littlefield Hall 212,0,0,0,0,0,0,546,606
Gregorian Quad A 408,396,621,227,329,341,598,534,106
Gregorian Quad A 409,173,424,420,625,445,598,534,454
Gregorian Quad A 401,143,270,286,307,337,98,344,399
Gregorian Quad A 402,279,244,258,344,322,325,277,372
Gregorian Quad A 403,284,313,305,239,322,306,272,372
Gregorian Quad A 404,279,144,212,344,246,325,295,295,348,350
Gregorian Quad A 405,104,32,189,135,122,102,136,82
Gregorian Quad A 406,178,291,0,149,293,292,295,187
Gregorian Quad A 407,293,313,227,329,341,340,301,405
Caswell Hall 105,559,572,558,544,545,561,516,629
Caswell Hall 104,570,565,568,589,522,556,573,633
Caswell Hall 107,562,545,545,582,571,565,548,618
Caswell Hall 106,564,545,545,589,525,561,548,618
Caswell Hall 101,544,568,570,602,522,532,536,632
Caswell Hall 103,564,565,568,589,522,556,536,633
Caswell Hall 102,0,497,467,544,492,499,482,573
Caswell Hall 109,562,597,573,579,571,565,521,597
Young Orchard #4 230,64,102,183,143,119,237,231,81
Champlin 406,459,142,356,0,0,0,0,0
