res_hall,remaining,total,num_picks
Olney House,16,16,10
Young Orchard #10,10,12,10
Fake Building,17,19,10
Littlefield Hall,16,16,10
Machado House,11,11,10
Pass,48,49,10
Drop to 370,1,1,10
Drop to 720,1,1,10
Drop to 312,1,1,10
Drop to 493,1,1,10
Drop to 491,1,1,10
Drop to 217,1,1,10
New Pembroke #1,5,14,10
Wayland House,19,19,10
Drop to 162,0,1,10
Drop to 741,1,1,10
Drop to 459,2,2,10
Drop to 164,0,1,10
Drop to 515,1,1,10
Drop to 257,1,1,10
Barbour Hall Apartments,29,29,10
Minden,38,57,10
Grad Center C,15,15,10
Drop to 483,1,1,10
Plantations House,9,9,10
315 Thayer,0,13,10
Sears House,14,14,10
Diman House,13,13,10
Drop to 533,1,1,10
Drop to 454,1,1,10
Marcy House,18,18,10
Drop to 473,1,1,10
Hope College,38,38,10
Caswell Hall,46,46,11
Harkness House,14,14,11
Drop to 22,0,1,11
Hegeman,20,31,11
Drop to 316,1,1,11
Perkins Hall,67,67,11
Goddard House,22,22,11
Young Orchard #4,3,12,11
Young Orchard #2,2,11,11
Drop to 329,1,1,11
New Pembroke #3,36,36,11
New Pembroke #2,3,16,11
Grad Center D,78,108,11
No Show,88,95,11
Grad Center B,18,18,11
Drop to 134,0,1,11
New Pembroke #4,49,49,11
Drop to 97,0,1,11
Drop to 178,0,1,11
Drop to 295,1,1,11
Drop to 508,1,1,11
Drop to 509,1,1,11
Drop to 157,0,1,11
Drop to 121,0,1,11
Slater Hall,16,21,11
Drop to 702,1,1,11
Drop to 421,1,1,11
Chapin House,6,6,11
Gregorian Quad A,51,76,11
Drop to 462,1,1,11
Gregorian Quad B,23,53,11
Barbour Hall,16,16,11
111 Brown Street,6,6,11
Grad center A,71,83,11
Olney House,16,16,11
Young Orchard #10,10,12,11
Fake Building,16,19,11
Littlefield Hall,16,16,11
Machado House,11,11,11
Pass,48,49,11
Drop to 370,1,1,11
Drop to 720,1,1,11
Drop to 312,1,1,11
Drop to 493,1,1,11
Drop to 491,1,1,11
Drop to 217,1,1,11
New Pembroke #1,5,14,11
Wayland House,19,19,11
Drop to 162,0,1,11
Drop to 741,1,1,11
Drop to 459,2,2,11
Drop to 164,0,1,11
Drop to 515,1,1,11
Drop to 257,1,1,11
Barbour Hall Apartments,29,29,11
Minden,38,57,11
Grad Center C,15,15,11
Drop to 483,1,1,11
Plantations House,9,9,11
315 Thayer,0,13,11
Sears House,14,14,11
Diman House,13,13,11
Drop to 533,1,1,11
Drop to 454,1,1,11
Marcy House,18,18,11
Drop to 473,1,1,11
Hope College,38,38,11
Caswell Hall,46,46,12
Harkness House,14,14,12
Drop to 22,0,1,12
Hegeman,19,31,12
Drop to 316,1,1,12
Perkins Hall,67,67,12
Goddard House,22,22,12
Young Orchard #4,3,12,12
Young Orchard #2,2,11,12
Drop to 329,1,1,12
New Pembroke #3,36,36,12
New Pembroke #2,3,16,12
Grad Center D,71,108,12
No Show,87,95,12
Grad Center B,18,18,12
Drop to 134,0,1,12
New Pembroke #4,49,49,12
Drop to 97,0,1,12
Drop to 178,0,1,12
Drop to 295,1,1,12
Drop to 508,1,1,12
Drop to 509,1,1,12
Drop to 157,0,1,12
Drop to 121,0,1,12
Slater Hall,16,21,12
Drop to 702,1,1,12
Drop to 421,1,1,12
Chapin House,6,6,12
Gregorian Quad A,49,76,12
Drop to 462,1,1,12
Gregorian Quad B,23,53,12
